week,time range,weather,temp,is_holiday,flow of cars
7,1,1,22,0,197
7,1,1,22,0,226
7,1,1,22,0,152
7,1,1,22,0,200
7,1,1,22,0,165
7,1,1,22,0,145
7,1,1,22,0,129
7,1,1,22,0,109
7,1,1,22,0,62
7,1,1,22,0,109
7,1,1,22,0,74
7,1,1,22,0,96
7,1,1,22,0,88
7,1,1,22,0,69
7,1,1,22,0,71
7,1,1,22,0,59
7,1,1,22,0,74
7,1,1,22,0,70
7,1,1,22,0,25
7,1,1,22,0,62
7,1,1,22,0,97
7,1,1,22,0,89
7,1,1,22,0,88
7,1,1,22,0,114
7,2,3,27,0,137
7,2,3,27,0,171
7,2,3,27,0,174
7,2,3,27,0,304
7,2,3,27,0,371
7,2,3,27,0,297
7,2,3,27,0,511
7,2,3,27,0,624
7,2,3,27,0,486
7,2,3,27,0,494
7,2,3,27,0,525
7,2,3,27,0,472
7,2,3,27,0,479
7,2,3,27,0,555
7,2,3,27,0,523
7,2,3,27,0,522
7,2,3,27,0,597
7,2,3,27,0,459
7,2,3,27,0,498
7,2,3,27,0,480
7,2,3,27,0,535
7,2,3,27,0,543
7,2,3,27,0,605
7,2,3,27,0,514
7,2,3,27,0,484
7,2,3,27,0,448
7,2,3,27,0,558
7,2,3,27,0,550
7,2,3,27,0,454
7,2,3,27,0,501
7,2,3,27,0,519
7,2,3,27,0,563
7,2,3,27,0,574
7,2,3,27,0,488
7,2,3,27,0,503
7,2,3,27,0,687
7,2,3,27,0,490
7,2,3,27,0,640
7,2,3,27,0,549
7,2,3,27,0,499
7,2,3,27,0,473
7,2,3,27,0,501
7,2,3,27,0,584
7,2,3,27,0,484
7,2,3,27,0,539
7,2,3,27,0,567
7,2,3,27,0,674
7,2,3,27,0,614
7,2,0,17,0,553
7,2,0,17,0,567
7,2,0,17,0,615
7,2,0,17,0,440
7,2,0,17,0,517
7,2,0,17,0,559
7,2,0,17,0,491
7,2,0,17,0,518
7,2,0,17,0,544
7,2,0,17,0,443
7,2,0,17,0,481
7,2,0,17,0,433
7,2,0,17,0,394
7,2,0,17,0,400
7,2,0,17,0,477
7,2,0,17,0,404
7,2,0,17,0,399
7,2,0,17,0,274
7,2,0,17,0,302
7,2,0,17,0,244
7,2,0,17,0,224
7,2,0,17,0,239
7,2,0,17,0,222
7,2,0,17,0,186
1,1,0,17,0,218
1,1,0,17,0,194
1,1,0,17,0,176
1,1,0,17,0,168
1,1,0,17,0,66
1,1,0,17,0,105
1,1,0,17,0,105
1,1,0,17,0,69
1,1,0,17,0,70
1,1,0,17,0,66
1,1,0,17,0,72
1,1,0,17,0,51
1,1,0,17,0,52
1,1,0,17,0,61
1,1,0,17,0,56
1,1,0,17,0,52
1,1,0,17,0,27
1,1,0,17,0,55
1,1,0,17,0,53
1,1,0,17,0,37
1,1,0,17,0,49
1,1,0,17,0,76
1,1,0,17,0,42
1,1,0,17,0,93
1,2,1,28,0,110
1,2,1,28,0,201
1,2,1,28,0,365
1,2,1,28,0,552
1,2,1,28,0,579
1,2,1,28,0,743
1,2,1,28,0,873
1,2,1,28,0,766
1,2,1,28,0,698
1,2,1,28,0,551
1,2,1,28,0,586
1,2,1,28,0,467
1,2,1,28,0,529
1,2,1,28,0,447
1,2,1,28,0,536
1,2,1,28,0,473
1,2,1,28,0,449
1,2,1,28,0,461
1,2,1,28,0,446
1,2,1,28,0,361
1,2,1,28,0,424
1,2,1,28,0,459
1,2,1,28,0,419
1,2,1,28,0,426
1,2,1,28,0,427
1,2,1,28,0,478
1,2,1,28,0,393
1,2,1,28,0,394
1,2,1,28,0,507
1,2,1,28,0,560
1,2,1,28,0,411
1,2,1,28,0,483
1,2,1,28,0,433
1,2,1,28,0,449
1,2,1,28,0,420
1,2,1,28,0,427
1,2,1,28,0,364
1,2,1,28,0,454
1,2,1,28,0,491
1,2,1,28,0,483
1,2,1,28,0,633
1,2,1,28,0,567
1,2,1,28,0,564
1,2,1,28,0,663
1,2,1,28,0,590
1,2,1,28,0,662
1,2,1,28,0,687
1,2,1,28,0,673
1,2,2,14,0,618
1,2,2,14,0,737
1,2,2,14,0,637
1,2,2,14,0,742
1,2,2,14,0,646
1,2,2,14,0,565
1,2,2,14,0,453
1,2,2,14,0,515
1,2,2,14,0,490
1,2,2,14,0,407
1,2,2,14,0,434
1,2,2,14,0,395
1,2,2,14,0,422
1,2,2,14,0,429
1,2,2,14,0,319
1,2,2,14,0,392
1,2,2,14,0,323
1,2,2,14,0,286
1,2,2,14,0,314
1,2,2,14,0,286
1,2,2,14,0,178
1,2,2,14,0,223
1,2,2,14,0,185
1,2,2,14,0,189
2,1,2,14,0,136
2,1,2,14,0,176
2,1,2,14,0,152
2,1,2,14,0,122
2,1,2,14,0,120
2,1,2,14,0,134
2,1,2,14,0,120
2,1,2,14,0,105
2,1,2,14,0,69
2,1,2,14,0,109
2,1,2,14,0,61
2,1,2,14,0,81
2,1,2,14,0,83
2,1,2,14,0,71
2,1,2,14,0,61
2,1,2,14,0,50
2,1,2,14,0,50
2,1,2,14,0,77
2,1,2,14,0,84
2,1,2,14,0,73
2,1,2,14,0,74
2,1,2,14,0,44
2,1,2,14,0,58
2,1,2,14,0,105
2,2,2,30,0,146
2,2,2,30,0,205
2,2,2,30,0,364
2,2,2,30,0,520
2,2,2,30,0,674
2,2,2,30,0,705
2,2,2,30,0,828
2,2,2,30,0,732
2,2,2,30,0,816
2,2,2,30,0,723
2,2,2,30,0,620
2,2,2,30,0,585
2,2,2,30,0,580
2,2,2,30,0,583
2,2,2,30,0,560
2,2,2,30,0,425
2,2,2,30,0,504
2,2,2,30,0,467
2,2,2,30,0,507
2,2,2,30,0,441
2,2,2,30,0,439
2,2,2,30,0,406
2,2,2,30,0,415
2,2,2,30,0,512
2,2,2,30,0,369
2,2,2,30,0,440
2,2,2,30,0,424
2,2,2,30,0,332
2,2,2,30,0,342
2,2,2,30,0,408
